match_id,radiant_team_id,dire_team_id,radiant_win,player_slot,account_id,hero_id,is_radiant
8730223957,9729268,9828921,False,0,1171975340,99,True
8730223957,9729268,9828921,False,1,1056145299,34,True
8730223957,9729268,9828921,False,2,138327358,84,True
8730223957,9729268,9828921,False,3,906511622,19,True
8730223957,9729268,9828921,False,4,819437701,21,True
8730223957,9729268,9828921,False,128,1029972951,95,False
8730223957,9729268,9828921,False,129,130433320,78,False
8730223957,9729268,9828921,False,130,339941742,87,False
8730223957,9729268,9828921,False,131,899170714,74,False
8730223957,9729268,9828921,False,132,113923026,65,False
8730221517,,,True,0,1520545442,49,True
8730221517,,,True,1,1673685889,63,True
8730221517,,,True,2,1138385153,98,True
8730221517,,,True,3,1217441918,75,True
8730221517,,,True,4,1675479387,19,True
8730221517,,,True,128,1491508516,28,False
8730221517,,,True,129,1723859802,27,False
8730221517,,,True,130,1218651168,18,False
8730221517,,,True,131,1694626419,37,False
8730221517,,,True,132,1580283468,56,False
8730219936,10087967,10075147,True,0,1525063318,39,True
8730219936,10087967,10075147,True,1,1215555224,11,True
8730219936,10087967,10075147,True,2,811631465,31,True
8730219936,10087967,10075147,True,3,1238709527,14,True
8730219936,10087967,10075147,True,4,1081382061,123,True
8730219936,10087967,10075147,True,128,1211883286,72,False
8730219936,10087967,10075147,True,129,1861319925,15,False
8730219936,10087967,10075147,True,130,122466954,37,False
8730219936,10087967,10075147,True,131,1640551981,121,False
8730219936,10087967,10075147,True,132,1517072924,16,False
8730219417,7856045,9054352,True,0,973639402,155,True
8730219417,7856045,9054352,True,1,346187094,106,True
8730219417,7856045,9054352,True,2,108105268,107,True
8730219417,7856045,9054352,True,3,99628170,72,True
8730219417,7856045,9054352,True,4,10582646,85,True
8730219417,7856045,9054352,True,128,1674401460,70,False
8730219417,7856045,9054352,True,129,1276893638,38,False
8730219417,7856045,9054352,True,130,1036639380,52,False
8730219417,7856045,9054352,True,131,1675506161,101,False
8730219417,7856045,9054352,True,132,1415129501,50,False
8730216978,10041636,9887333,False,0,989204238,21,True
8730216978,10041636,9887333,False,1,1135100564,59,True
8730216978,10041636,9887333,False,2,1042859604,129,True
8730216978,10041636,9887333,False,3,1420645319,105,True
8730216978,10041636,9887333,False,4,1009374344,100,True
8730216978,10041636,9887333,False,128,1519860733,107,False
8730216978,10041636,9887333,False,129,1829475814,64,False
8730216978,10041636,9887333,False,130,1275943377,65,False
8730216978,10041636,9887333,False,131,788493885,46,False
8730216978,10041636,9887333,False,132,353191049,114,False
8730215928,10060924,9629413,False,0,1836639409,101,True
8730215928,10060924,9629413,False,1,1187466548,109,True
8730215928,10060924,9629413,False,2,1607246346,64,True
